MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     302.74771 s         8/30/2019 3:23:48 PM
Data Acquisition: Timed
Station Name: Default.cfg
Test File Name: Untitled test
Running Time Axial Force Axial Displacement
s         N         mm
57.018391 -204.18961 -0.64054799
57.218426 -205.127  -0.63896924
57.418457 -204.40288 -0.64111948
57.618488 -202.59193 -0.64143169
57.818523 -201.17543 -0.64000934
58.018555 -205.12553 -0.64080131
58.218586 -204.7345 -0.64041984
58.418621 -202.1008 -0.64050484
58.618652 -205.25661 -0.63976276
58.818684 -203.98952 -0.63999522
59.018719 -202.41681 -0.63967258
59.21875  -203.45259 -0.64022243
59.418781 -203.43124 -0.64017403
59.618816 -202.08105 -0.63924193
59.818848 -203.41841 -0.64010769
60.018879 -202.46002 -0.63933432
60.218914 -201.47592 -0.64021051
60.418945 -203.95992 -0.64025593
60.618977 -203.36848 -0.63878822
60.819012 -201.81418 -0.64037216
61.019043 -203.87274 -0.63929331
61.219074 -203.28059 -0.64075738
61.419109 -205.739  -0.64015758
61.619141 -203.55664 -0.63926131
61.819172 -201.80038 -0.63953173
62.019207 -202.98692 -0.639727
62.219238 -202.25975 -0.63951612
62.41927  -199.64471 -0.64094293
62.619305 -203.72179 -0.64045936
62.819336 -203.13216 -0.6405257
63.019367 -202.44557 -0.64015615
63.219402 -200.94458 -0.64013827
63.419434 -202.23669 -0.64030063
63.619465 -204.68515 -0.63946319
63.8195   -200.43314 -0.64006376
64.019531 -203.19417 -0.63960403
64.219566 -202.73369 -0.63996911
64.419594 -202.48643 -0.63964725
64.619629 -202.2137 -0.6403811
64.819664 -202.29105 -0.64021498
65.019691 -203.73878 -0.63999367
65.219727 -200.52716 -0.63960481
65.419762 -203.53362 -0.64007789
65.619789 -202.85609 -0.64056665
65.819824 -202.08221 -0.64036918
66.019859 -203.62941 -0.63927621
66.219887 -204.09677 -0.6394431
66.419922 -203.18178 -0.63976198
66.619957 -202.01978 -0.63987225
66.819984 -202.03441 -0.63942301
67.02002  -203.36092 -0.64008385
67.220055 -202.69122 -0.64068884
67.420082 -203.59427 -0.64049888
67.620117 -200.79315 -0.64107478
67.820152 -203.34306 -0.64032972
68.02018  -203.52826 -0.64064562
68.220215 -202.61812 -0.64140785
68.42025  -201.73856 -0.63937676
68.620277 -201.709  -0.64045858
68.820313 -202.94684 -0.64059865
69.020348 -202.86266 -0.63903403
69.220375 -203.63182 -0.63935745
69.42041  -202.34093 -0.63951612
69.620445 -201.67046 -0.63952655
69.820473 -203.13892 -0.63998997
70.020508 -202.87418 -0.63925612
70.220543 -202.37895 -0.63987821
70.42057  -201.56938 -0.64030516
70.620605 -201.3994 -0.63900054
70.820641 -204.55476 -0.63938349
71.020668 -204.89824 -0.6394453
71.220703 -202.36455 -0.64001608
71.420738 -205.49599 -0.64017105
71.620766 -204.26691 -0.64057261
71.820801 -204.61917 -0.64387393
72.020836 -206.8356 -0.64888966
72.220863 -208.15469 -0.65556836
72.420898 -210.33424 -0.66442788
72.620934 -211.14693 -0.66879761
72.820961 -215.96492 -0.67305118
73.020996 -216.93997 -0.68142641
73.221031 -218.93976 -0.68888295
73.421059 -222.92938 -0.69532543
73.621094 -224.37524 -0.70206892
73.821129 -226.58411 -0.70954263
74.021156 -229.18907 -0.71439743
74.221191 -230.78642 -0.72018355
74.421227 -232.78893 -0.72451305
74.621254 -233.56512 -0.72993189
74.821289 -233.46353 -0.73563904
75.021324 -238.4642 -0.7393688
75.221352 -238.04434 -0.74153394
75.421387 -240.8889 -0.74577779
75.621422 -241.83571 -0.75022948
75.821449 -240.7594 -0.75694847
76.021484 -244.44553 -0.76387674
76.221519 -247.04855 -0.77048612
76.421547 -249.40741 -0.7769562
76.621582 -249.97545 -0.77913773
76.821617 -252.03836 -0.78311932
77.021645 -252.66734 -0.78751075
77.22168  -254.60887 -0.79137015
77.421715 -255.99333 -0.79652894
77.621742 -259.07693 -0.80345571
77.821777 -260.23212 -0.81186962
78.021812 -264.14413 -0.81935298
78.22184  -262.35077 -0.82082379
78.421875 -263.52731 -0.82036924
78.62191  -265.2471 -0.82067776
78.821938 -265.46295 -0.82113892
79.021973 -266.35315 -0.82738626
79.222008 -270.71234 -0.8347407
79.422035 -268.07178 -0.83973634
79.62207  -272.0159 -0.84291923
79.822105 -274.64883 -0.84680688
80.022133 -276.27689 -0.85435438
80.222168 -276.94073 -0.86023062
80.422203 -279.08896 -0.86478364
80.622231 -279.69556 -0.86948347
80.822266 -279.72711 -0.87050796
81.022301 -283.79498 -0.87067038
81.222328 -281.44244 -0.86987019
81.422363 -282.10742 -0.87026429
81.622398 -282.12842 -0.87395835
81.822426 -283.88348 -0.87776482
82.022461 -285.854  -0.88405758
82.222496 -286.60117 -0.89028847
82.422523 -288.74475 -0.89001286
82.622559 -289.72668 -0.89083982
82.822594 -289.95526 -0.88908523
83.022621 -288.10385 -0.89013803
83.222656 -289.24066 -0.89031011
83.422691 -289.65997 -0.89686513
83.622719 -292.91956 -0.90340823
83.822754 -294.03058 -0.90865266
84.022789 -295.66217 -0.91076565
84.222816 -294.48633 -0.90935004
84.422852 -294.392  -0.90948045
84.622887 -294.8324 -0.910043
84.822914 -292.66443 -0.91148245
85.022949 -296.67212 -0.91374445
85.222984 -297.27969 -0.91843235
85.423012 -296.07697 -0.91915953
85.623047 -298.80646 -0.92001259
85.823082 -297.82327 -0.91941285
86.023109 -297.60571 -0.919608
86.223145 -297.74857 -0.91967434
86.42318  -298.35495 -0.92049837
86.623207 -298.83984 -0.92128515
86.823242 -296.32358 -0.92029643
87.023277 -297.03903 -0.91973615
87.223305 -298.55368 -0.9199962
87.42334  -298.73129 -0.92363727
87.623375 -300.48978 -0.92726499
87.823402 -299.84412 -0.93068779
88.023438 -300.42874 -0.93003511
88.223473 -302.24966 -0.93014091
88.4235   -302.47409 -0.93058419
88.623535 -300.98764 -0.93058419
88.82357  -301.57346 -0.9300046
89.023598 -300.87051 -0.92930722
89.223633 -299.99164 -0.92969239
89.423668 -299.14734 -0.93008131
89.623695 -298.98401 -0.93080628
89.82373  -302.12778 -0.93107748
90.023766 -301.02191 -0.9299897
90.223793 -302.0737 -0.93127716
90.423828 -299.68011 -0.92987269
90.623863 -300.60757 -0.92990547
90.823891 -301.76474 -0.93145597
91.023926 -300.8147 -0.9298228
91.223961 -301.22119 -0.93045235
91.423988 -301.09134 -0.93116236
91.624023 -299.60098 -0.93080473
91.824059 -297.87045 -0.93074965
92.024086 -298.59442 -0.93046498
92.224121 -301.37149 -0.9289794
92.424156 -301.56183 -0.93026531
92.624184 -300.68915 -0.93009841
92.824219 -298.81146 -0.93026757
93.024254 -300.67709 -0.92982948
93.224281 -302.17053 -0.9302907
93.424316 -301.43317 -0.92969167
93.624352 -299.35349 -0.93101788
93.824379 -301.36298 -0.92970657
94.024414 -302.83945 -0.92939138
94.224449 -299.38217 -0.93014169
94.424477 -299.99536 -0.92977136
94.624512 -300.70288 -0.93042105
94.824547 -298.65863 -0.93051124
95.024574 -300.35156 -0.92992854
95.224609 -300.45132 -0.93018484
95.424644 -301.05722 -0.92971921
95.624672 -300.5871 -0.92975724
95.824707 -300.85089 -0.93093741
96.024742 -300.20941 -0.93017447
96.22477  -300.22141 -0.93035698
96.424805 -300.56107 -0.93076229
96.62484  -299.54675 -0.92953813
96.824867 -300.52948 -0.92987192
97.024902 -300.48471 -0.93001574
97.224937 -300.25583 -0.92932951
97.424965 -297.98669 -0.92982501
97.625    -299.81165 -0.93053055
97.825035 -301.30777 -0.93019903
98.025063 -299.15927 -0.92907399
98.225098 -299.4837 -0.92986524
98.425133 -301.27762 -0.92963725
98.62516  -300.57935 -0.92953444
98.825195 -301.06512 -0.93018115
99.02523  -298.5123 -0.93058717
99.225258 -301.15155 -0.92898309
99.425293 -301.19714 -0.93053353
99.625328 -300.50186 -0.93036443
99.825356 -299.28638 -0.92972147
100.02539 -297.92163 -0.92998374
100.22543 -299.91922 -0.93026531
100.42545 -299.10254 -0.92965066
100.62549 -299.87006 -0.93169284
100.82552 -300.08685 -0.93047768
101.02555 -298.42334 -0.93102157
101.22559 -301.43204 -0.93069375
101.42562 -300.6998 -0.92891008
101.62565 -300.84503 -0.9304896
101.82568 -300.3067 -0.93055892
102.02572 -299.62552 -0.93011707
102.22575 -301.37045 -0.93040019
102.42578 -299.38083 -0.92913735
102.62582 -298.99564 -0.92945921
102.82584 -299.34149 -0.92852116
103.02588 -298.64493 -0.93044043
103.22591 -301.1821 -0.93020052
103.42594 -299.17819 -0.92921406
103.62598 -297.97998 -0.9290092
103.82601 -298.0448 -0.93053877
104.02604 -299.80945 -0.92921925
104.22607 -301.78207 -0.93126148
104.42611 -300.45163 -0.92939663
104.62614 -297.78558 -0.93059015
104.82617 -298.78381 -0.93076676
105.02621 -299.24515 -0.9299047
105.22623 -301.68381 -0.92902482
105.42627 -301.06378 -0.92986077
105.6263  -297.84171 -0.93090165
105.82633 -299.25708 -0.92973709
106.02637 -300.90582 -0.92959929
106.2264  -300.436  -0.9296909
106.42643 -301.11377 -0.93015957
106.62646 -299.72147 -0.9301759
106.8265  -298.25912 -0.93035549
107.02653 -300.73392 -0.93013495
107.22656 -300.64581 -0.93332231
107.4266  -303.39661 -0.93867481
107.62663 -304.67343 -0.94324797
107.82666 -307.33304 -0.94810796
108.0267  -307.84708 -0.95519871
108.22672 -309.96857 -0.95873845
108.42676 -309.66443 -0.96155554
108.62679 -313.67648 -0.96672028
108.82682 -315.19962 -0.97407401
109.02686 -316.8537 -0.98251849
109.22689 -323.59604 -0.98952425
109.42692 -325.28821 -0.99754405
109.62695 -327.28296 -1.0076516
109.82699 -328.79922 -1.0112293
110.02702 -329.53961 -1.0195777
110.22705 -334.41107 -1.02631
110.42709 -336.19147 -1.0344893
110.62711 -338.10284 -1.0408603
110.82715 -339.83749 -1.0503494
111.02718 -338.8801 -1.0527812
111.22721 -344.76517 -1.0560334
111.42725 -345.80838 -1.0619388
111.62728 -349.41333 -1.0691569
111.82731 -346.427  -1.0757558
112.02734 -351.45889 -1.0832124
112.22738 -354.99524 -1.0907576
112.42741 -357.25641 -1.0990351
112.62744 -359.48511 -1.1071063
112.82748 -363.65387 -1.1104815
113.0275  -362.42249 -1.1107459
113.22754 -361.96289 -1.1110812
113.42757 -362.56891 -1.1134453
113.6276  -364.40598 -1.1171803
113.82764 -364.29901 -1.1240542
114.02767 -369.00763 -1.1316948
114.2277  -372.08347 -1.1391736
114.42773 -374.08295 -1.1491925
114.62777 -374.95462 -1.1503078
114.8278  -375.67523 -1.1507124
115.02783 -375.45923 -1.1513398
115.22787 -374.3526 -1.1507168
115.42789 -374.55646 -1.1498027
115.62793 -376.43817 -1.1527135
115.82796 -377.93387 -1.1580758
116.02799 -379.42972 -1.1628836
116.22803 -381.97662 -1.170218
116.42806 -383.51102 -1.1763349
116.62809 -384.92706 -1.1802547
116.82813 -384.19705 -1.1806116
117.02816 -384.13126 -1.1798404
117.22819 -386.38632 -1.1811763
117.42822 -384.70151 -1.1811465
117.62826 -385.04007 -1.1828289
117.82829 -387.69128 -1.1871941
118.02832 -390.88513 -1.1939988
118.22836 -391.06216 -1.1997685
118.42838 -393.28946 -1.200886
118.62842 -392.95407 -1.2007759
118.82845 -395.39056 -1.1994146
119.02848 -391.50821 -1.2011163
119.22852 -392.65436 -1.2019053
119.42855 -392.36609 -1.2065142
119.62858 -396.21326 -1.2111492
119.82861 -395.96695 -1.2088432
120.02865 -395.25668 -1.2097948
120.22868 -396.13892 -1.2124426
120.42871 -397.29791 -1.2164176
120.62875 -401.09845 -1.2210488
120.82877 -399.56723 -1.2213521
121.02881 -400.18039 -1.2270659
121.22884 -403.18329 -1.2298517
121.42887 -400.12048 -1.2304038
121.62891 -400.4379 -1.2296968
121.82894 -402.07474 -1.2293041
122.02897 -400.36816 -1.2294382
122.229   -401.5    -1.2302206
122.42904 -402.75839 -1.2300081
122.62907 -402.31641 -1.2310177
122.8291  -401.26099 -1.2303643
123.02914 -401.40631 -1.2305372
123.22916 -400.20438 -1.2305737
123.4292  -402.88168 -1.2302949
123.62923 -401.80219 -1.2306005
123.82926 -401.81677 -1.2298152
124.0293  -401.27557 -1.2302227
124.22933 -401.37527 -1.2306757
124.42936 -402.41037 -1.2295455
124.62939 -404.06573 -1.2304239
124.82943 -402.22165 -1.2298137
125.02946 -403.53833 -1.2301393
125.22949 -402.83154 -1.2291856
125.42953 -399.36719 -1.2313559
125.62955 -401.35297 -1.230321
125.82959 -401.68655 -1.2298144
126.02962 -401.26917 -1.230418
126.22965 -404.40027 -1.2305975
126.42969 -402.20294 -1.2293503
126.62972 -399.41718 -1.2301415
126.82975 -400.92108 -1.2306161
127.02979 -400.05695 -1.2305372
127.22982 -400.14682 -1.2297786
127.42985 -401.80551 -1.2296773
127.62988 -401.45737 -1.2297981
127.82992 -400.24881 -1.2290671
128.02995 -402.16638 -1.2297779
